generation,checkpoint_id,max_Survived,min_Survived,mean_Survived,elites_mean_Survived,cid_min_Survived,cid_max_Survived
31,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/31/20251105-234943,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
32,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/32/20251105-234944,0.7236065573770493,0.7223497267759563,0.72348087431694,0.7236065573770493,32_10,1_3
33,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/33/20251105-234945,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
34,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/34/20251105-234945,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
35,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/35/20251105-234946,0.7236065573770493,0.7221857923497268,0.723464480874317,0.7236065573770493,35_9,1_3
36,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/36/20251105-234946,0.7236065573770493,0.7232786885245902,0.7235737704918034,0.7236065573770493,36_8,1_3
37,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/37/20251105-234947,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
38,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/38/20251105-234947,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
39,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/39/20251105-234948,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
40,UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d/40/20251105-234949,0.7236065573770493,0.7236065573770493,0.7236065573770494,0.7236065573770493,1_3,1_3
